Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Longitude,Latitude
96,Blackstone Ave & Hyde Park Blvd,Blackstone Ave & Hyde Park Blvd,19,18,in service,-87.590368,41.802562
102,Blue Island Ave & 18th St,Blue Island Ave & 18th St,15,14,in service,-87.661535,41.857556
1,Buckingham Fountain,Buckingham Fountain,39,38,in service,-87.62034,41.87647
3,Burnham Harbor,Burnham Harbor,23,23,in service,-87.613348,41.856268
226,California Ave & 21st St,California Ave & 21st St,15,14,in service,-87.695445,41.854016
273,California Ave & 23rd Pl,California Ave & 23rd Pl,11,11,in service,-87.69513981,41.84910969
276,California Ave & 26th St,California Ave & 26th St,11,10,in service,-87.69529592,41.84404003
317,California Ave & Cortez St,California Ave & Cortez St,15,15,in service,-87.696704,41.900363
168,California Ave & Division St,California Ave & Division St,15,14,in service,-87.697474,41.903029
181,California Ave & Francis Pl,California Ave & Francis Pl,15,15,in service,-87.696972,41.918121
242,California Ave & Lake St,California Ave & Lake St,11,10,in service,-87.69629814,41.88445396
194,California Ave & North Ave,California Ave & North Ave,11,11,in service,-87.6972,41.91044
221,Calumet Ave & 18th St,Calumet Ave & 18th St,15,15,in service,-87.619407,41.857611
236,Calumet Ave & 21st St,Calumet Ave & 21st St,15,14,in service,-87.61915374,41.85418425
